No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
76,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 Feb - 15 Mar 23,QT22060085.5,16 Feb - 15 Mar 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,412578.65,360108.31,412578.65,360108.31,100.00,52470.34,12.72
77,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission GSK PG Permanent (VMS) on Mar 23,QT22060085.6,1-31 Mar 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,443124.00,402840.00,443124.00,402840.00,100.00,40284.00,9.09
78,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 Mar - 15 April 23,QT22060085.7,16 Mar - 15 April 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,404873.70,350211.91,404873.70,350211.91,100.00,54661.79,13.5
79,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Commission GSK PG Permanent (VMS) on April 23,QT22060085.8,1-30 April 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,404855.00,368050.00,404855.00,368050.00,100.00,36805.00,9.09
80,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,GSK PG Permanent (VMS) 16 April - 15 May 23,QT22060085.9,16 April - 15 May 23 ,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,397948.10,346467.96,397948.10,346467.96,100.00,51480.14,12.94
81,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC 1-30 Apr 2023,QT22070052.10,1-30 April 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,1942473.72,1829590.19,1942473.72,1829590.19,100.00,112883.53,5.81
82,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC on May 23,QT22070052.11,1-31 May 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,1946255.69,1829666.94,1946255.69,1829666.94,100.00,116588.75,5.99
83,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC 1-30 Jun 2023,QT22070052.12,1-30 June 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,1945335.31,1814497.09,1945335.31,1814497.09,100.00,130838.22,6.73
84,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC on Jan 23,QT22070052.7,1-31 Jan 2023,3.2 Key Account,จัดเรียงสินค้า,BU2A,1982372.89,1844411.54,1982372.89,1844411.54,100.00,137961.35,6.96
85,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC on Feb 23,QT22070052.8,1 -28 Feb 2023,3.2 Key Account,จัดเรียงสินค้า,BU2A,1949431.78,1807836.07,1949431.78,1807836.07,100.00,141595.71,7.26
86,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Merchandiser at UPC on Mar 23,QT22070052.9,1-31 Mar 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,1935772.59,1824280.19,1935772.59,1824280.19,100.00,111492.40,5.76
87,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on June 23,QT22070053.10,1-30 Jun 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,27063.64,19136.03,27063.64,19136.03,100.00,7927.61,29.29
88,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on Jan 23,QT22070053.5,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13531.81,5607.69,13531.81,5607.69,100.00,7924.12,58.56
89,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on Feb 23,QT22070053.6,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13531.82,11131.96,13531.82,11131.96,100.00,2399.86,17.73
90,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on Mar 23,QT22070053.7,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13531.82,10555.04,13531.82,10555.04,100.00,2976.78,22
91,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on Apr 23,QT22070053.8,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13531.82,8631.07,13531.82,8631.07,100.00,4900.75,36.22
92,บริษัท เอส มาร์เก็ตติ้ง จำกัด,WAC Loyalty Program 2022-2023 on May 23 (QT22070053.9),QT22070053.9,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13531.82,8039.18,13531.82,8039.18,100.00,5492.64,40.59
93,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Jan 2023,QT22070092.1,1-31 Jan 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,15618.06,24300.00,15618.06,100.00,8681.94,35.73
94,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Oct 2023,QT22070092.10,1-31 Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17393.31,24300.00,17393.31,100.00,6906.69,28.42
95,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Nov 2023,QT22070092.11,1-30 Nov 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17375.44,24300.00,17375.44,100.00,6924.56,28.5
96, Trading (Thailand) Ltd.,Warehouse ACD 2023 _ 150 SQM. Dec 2023,QT22070092.12,1-31 Dec 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17338.89,24300.00,17338.89,100.00,6961.11,28.65
97,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Feb 2023,QT22070092.2,1 -28 Feb 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,15572.50,24300.00,15572.50,100.00,8727.50,35.92
98,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Mar 2023,QT22070092.3,1-31 Mar 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,15607.13,24300.00,15607.13,100.00,8692.87,35.77
