ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
63,BU 1.3,1.3 Logistic,QT22110106.9,Danone HN Logistics Warehouse on Sep 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-09-23,30-09-23,2023,9,Q3,BU1A,Mar," 216,634.50 ",30-60 วัน,,,,,,,,,,,
64,BU 1.3,1.3 Logistic,QT22110107,Danone HN - Logistics 2023  (Operation Cost),บริษัท ดาดา (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 686,291.40 ",17-02-23,25-12-23,2023,2,Q1,BU1A,Jan," 22,680.00 ",30-60 วัน,,,,,,,,,,,
65,BU 1.3,1.3 Logistic,QT22110107.1,Danone HN Logistics Songklha (25-27 Jan 2023),บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 27,108.00 ",25-01-23,27-01-23,2023,1,Q1,BU1A,Feb," 22,680.00 ",30-60 วัน,,,,,,,,,,,
66,BU 1.3,1.3 Logistic,QT22110109.10,Warehouse loreal paris 2023 (DERMO LMUHAIR CARE) 200 SQM. Oct 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 37,800.00 ",01-10-23,31-10-23,2023,10,Q4,BU1B,Oct," 37,800.00 ",30-60 วัน,,,,,,,,,,,
67,BU 1.3,1.3 Logistic,QT22110109.11,Warehouse loreal paris 2023 (DERMO LMUHAIR CARE) 200 SQM. Nov 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 37,800.00 ",01-11-23,30-11-23,2023,11,Q4,BU1B,Nov," 37,800.00 ",30-60 วัน,,,,,,,,,,,
68,BU 1.3,1.3 Logistic,QT22110109.12,Warehouse loreal paris 2023 (DERMO LMUHAIR CARE) 200 SQM. Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 37,800.00 ",01-12-23,31-12-23,2023,12,Q4,BU1B,Dec," 37,800.00 ",30-60 วัน,,,,,,,,,,,
69,BU 1.3,1.3 Logistic,QT22110110.10,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-10-23,31-10-23,2023,10,Q4,BU1B,Oct," 43,200.00 ",30-60 วัน,,,,,,,,,,,
70,BU 1.3,1.3 Logistic,QT22110110.11,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 43,200.00 ",01-11-23,30-11-23,2023,11,Q4,BU1B,Jun," 27,450.00 ",30-60 วัน,,,,,,,,,,,
71,BU 1.3,1.3 Logistic,QT22110110.11,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 43,200.00 ",01-11-23,30-11-23,2023,11,Q4,BU1B,Nov," 43,200.00 ",30-60 วัน,,,,,,,,,,,
72,BU 1.3,1.3 Logistic,QT22110110.12,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 43,200.00 ",01-12-23,31-12-23,2023,12,Q4,BU1B,Jan," 15,120.00 ",30-60 วัน,,,,,,,,,,,
73,BU 1.3,1.3 Logistic,QT22110110.12,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 43,200.00 ",01-12-23,31-12-23,2023,12,Q4,BU1B,Dec," 43,200.00 ",30-60 วัน,,,,,,,,,,,
74,BU 1.3,1.3 Logistic,QT22110110.2,Warehouse Garnier 2023 _ 200 SQM. Feb 23,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-02-23,28-02-23,2023,2,Q1,BU1B,Feb," 15,120.00 ",30-60 วัน,,,,,,,,,,,
75,BU 1.3,1.3 Logistic,QT22110110.3,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-03-23,31-03-23,2023,3,Q1,BU1B,Mar," 15,120.00 ",30-60 วัน,,,,,,,,,,,
76,BU 1.3,1.3 Logistic,QT22110110.4,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-04-23,30-04-23,2023,4,Q2,BU1B,Apr," 15,120.00 ",30-60 วัน,,,,,,,,,,,
77,BU 1.3,1.3 Logistic,QT22110110.5,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-05-23,31-05-23,2023,5,Q2,BU1B,May," 15,120.00 ",30-60 วัน,,,,,,,,,,,
78,BU 1.3,1.3 Logistic,QT22110110.6,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-06-23,30-06-23,2023,6,Q2,BU1B,Jun," 15,120.00 ",30-60 วัน,,,,,,,,,,,
79,BU 1.3,1.3 Logistic,QT22110110.7,Warehouse Garnier 2023 _ 200 SQM. Jan - Dec 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,200.00 ",01-07-23,31-07-23,2023,7,Q3,BU1B,Jul," 15,120.00 ",30-60 วัน,,,,,,,,,,,
